scenario_id,scenario_name,f3_tactic,f3_technique,manipulation_type,fields_manipulated,mechanism_description,novelty_tag,round_added,created_at,detection_rate,red_reward,times_missed
7f954166,Fabricated KYC with Geolocation Oscillation,Positioning,Synthetic Identity Creation,identity,_identity_join_fields.account_age_days|_identity_join_fields.kyc_doc_similarity_score|_identity_join_fields.email_domain_risk_score|_behavioral_join_fields.login_time_deviation_hrs|_behavioral_join_fields.mean_inter_txn_seconds|deviceDetails.geocode,"Fraudster registers a synthetic account using forged KYC documents that yield a high kyc_doc_similarity_score despite a very low account_age_days. The synthetic identity then initiates rapid micro‑transactions from two geographically distant device geocodes alternating within minutes, creating a pattern of login_time_deviation_hrs spikes and unusually low mean_inter_txn_seconds across the burst.",synthetic_identity_geolocation_oscillation,0,2026-08-31T08:25:37.870885+00:00,0.5,0.75,0
42702402,Credential Stuffing with Device Fingerprint Rotation,Account Takeover,Credential stuffing,network,deviceDetails.deviceId|deviceDetails.ipAddress|deviceDetails.geocode|_behavioral_join_fields.login_time_deviation_hrs|_behavioral_join_fields.failed_auth_count_24h,"After a successful credential stuffing login, the attacker immediately switches to a fresh device fingerprint (new deviceId, IP address, and geocode via VPN/proxy) for each subsequent transaction, resulting in a burst of low‑failed‑auth counts per account but a high turnover of distinct device identifiers across a short time window, creating an aggregated network‑behavior anomaly.",credential_stuffing_fingerprint_rotation,0,2026-08-31T08:25:40.476008+00:00,0.47058823529411764,0.9738617647058824,1
35ecc3d9,Cross-Account Refund Chaining,Monetization,Refund/Promo Abuse,identity,amount|mcc|purposeCode|remarks|email_domain_risk_score|mean_inter_txn_seconds,"A network of synthetic identities repeatedly initiates low‑value refund requests to the same merchant (identical mcc and purposeCode) using identical remarks. Across the linked accounts the refunds occur within a tight time window, causing the aggregate refunded amount to surge while each individual account’s transaction frequency appears normal. The pattern is detectable only by correlating amount, mcc, purposeCode, remarks, and low inter‑account transaction latency, combined with elevated email_domain_risk_score for the accounts.",cross_account_refund_chaining,0,2026-08-31T08:25:42.933152+00:00,0.6875,0.5625,0
af9c98ca,Synthetic Biometric KYC Bypass via Deepfake Liveness,Access,Deepfake-Assisted KYC Bypass,ai_specific,kyc_doc_similarity_score|kyc_verification_method|email_domain_risk_score|deviceDetails.deviceId,"Attacker submits AI‑generated face/voice samples to the KYC pipeline, causing a surge of new accounts where kyc_doc_similarity_score is anomalously low yet kyc_verification_method is flagged as 'deepfake‑verified'. Across the cohort, these accounts exhibit normal low‑value payments, so per‑transaction amount appears benign, but the aggregate volume of approved KYC entries and subsequent transaction count deviates sharply from historic baselines, a pattern the current model fails to capture.",deepfake_biometric_kYC,1,2026-08-31T08:26:00.275662+00:00,0.8571428571428571,0.6116071428571429,0
a16ebcc9,Mule Network Low-Value Transaction Flood,Positioning,Mule Recruitment,network,payerVpa|payeeVpa|amount|deviceDetails.deviceId|_identity_join_fields.account_age_days|_identity_join_fields.email_domain_risk_score|_behavioral_join_fields.mean_inter_txn_seconds,"Fraudster recruits a set of freshly created accounts (low account_age_days, high email_domain_risk_score) and instructs them to send a rapid series of low‑value payments to a single hub payeeVpa. Each mule uses the same deviceId (shared device fingerprint) across its transactions, creating a hidden aggregation pattern: unusually high count of sub‑INR transfers from diverse payerVpa to one payee within minutes, while individual amounts appear normal and deviceDetails.ipAddress may be null, evading per‑transaction checks.",mule_recruitment_low_value_chaining,1,2026-08-31T08:26:23.822700+00:00,0.7142857142857143,0.5129642857142858,0
1efe8da5,Delayed Chargeback Friendly Fraud,Monetization,Chargeback Fraud,behavioral,purposeCode|remarks|mcc|deviceDetails.ipAddress|_identity_join_fields.account_age_days|_behavioral_join_fields.failed_auth_count_24h,"A synthetic account performs a burst of normal‑amount purchases from the same merchant category over several days, using a stable device fingerprint and geocode. After the goods are delivered, the account submits a chargeback request (encoded in the remarks/purposeCode) for the most recent purchase. Individually each txn looks benign, but the aggregation shows a pattern of rapid purchase‑then‑dispute cycles across multiple newly‑created accounts with low failed‑auth counts, which the current model misses because amount and device signals are unremarkable.",delayed_chargeback_friendly_fraud,1,2026-08-31T08:26:44.303703+00:00,0.6153846153846154,0.8012653846153845,0
ddfb9e64,Stealthy API Flood via Rotating Proxies,Exploitation,API Abuse,network,payerVpa|amount|timestamp|deviceDetails.ipAddress|deviceDetails.appId|_behavioral_join_fields.login_time_deviation_hrs,"Attacker uses a legitimate appId but rotates a pool of low‑reputation IP addresses per request, issuing a burst of sub‑INR transactions that individually look normal. Over a sliding 30‑minute window the cumulative volume for a single payerVpa exceeds historical hourly totals, yet each transaction stays under per‑txn thresholds. The pattern is only visible when aggregating amount per payerVpa across time and correlating IP diversity, which the current model’s feature set does not capture.",aggregation_volume_stealth,2,2026-08-31T08:27:03.350175+00:00,1.0,0.19445,0
f68db8d9,Session Hijack with Temporal Cohort Synchronization,Positioning,Account Takeover - Session Hijacking,behavioral,deviceDetails.deviceId|deviceDetails.geocode|_behavioral_join_fields.login_time_deviation_hrs|_behavioral_join_fields.mean_inter_txn_seconds|amount,"After stealing a valid session token, the fraudster issues a rapid series of low‑value UPI payments using the victim’s deviceId and appId unchanged, but subtly shifts the geocode within a 1‑km radius and aligns the login_time_deviation_hrs and mean_inter_txn_seconds to the victim’s historical patterns. Individually each txn appears normal, but across many hijacked accounts a synchronized burst creates an aggregation‑level anomaly that evades current thresholds.",session_hijack_temporal_cohort,2,2026-08-31T08:27:24.154385+00:00,0.2857142857142857,0.8809357142857143,1
53a72927,Coordinated Behavioral Drift via Bot Orchestration,Behavior,Behavioral Profile Spoofing,behavioral,_behavioral_join_fields.login_time_deviation_hrs|_behavioral_join_fields.mean_inter_txn_seconds|deviceDetails.ipAddress,"A botnet of compromised accounts executes low‑value UPI payments in tightly synchronized bursts. Each account's individual login_time_deviation_hrs and mean_inter_txn_seconds remain within normal ranges, but across the cohort the timestamps form a repeating micro‑burst pattern (e.g., 50 accounts transact within a 2‑minute window every 6 hours). The aggregation reveals an implausible coordinated timing signal that evades per‑transaction thresholds.",aggregated_behavioral_drift,2,2026-08-31T08:27:45.031471+00:00,0.2222222222222222,0.9444277777777778,1
e0f9941e,Aggregated Sub-Threshold Velocity Surge,Evasion,Low-and-Slow Velocity Abuse,behavioral,amount|timestamp|deviceDetails.geocode|_behavioral_join_fields.mean_inter_txn_seconds,"A coordinated botnet of compromised accounts issues low‑value transactions just below per‑account velocity limits. Each account spaces its payments to keep mean_inter_txn_seconds high, but the bots synchronize timestamps across a geographic cluster, creating a sudden platform‑wide spike in transaction count within a short window. The amount per txn remains normal, and device fingerprints appear legitimate, so per‑account signals stay under thresholds while the aggregated pattern is missed.",aggregated_low_velocity_spike,3,2026-08-31T08:28:05.856393+00:00,0.3888888888888889,0.7361111111111112,1
df754835,Device Fingerprint Nullification via Custom UPI SDK,Evasion,Anti-Fingerprinting - Deliberate device fingerprint nullification,network,deviceDetails.deviceId|deviceDetails.ipAddress|deviceDetails.geocode,"A malicious SDK strips all device identifier fields before sending the UPI request, resulting in a series of transactions where deviceDetails.deviceId, ipAddress and geocode are null. Across many low‑value transactions from the same payerVpa, the absence of fingerprint data creates a missing‑not‑at‑random pattern that the model treats as benign, allowing coordinated low‑and‑slow abuse to slip under the ensemble threshold.",fingerprint_nullification,3,2026-08-31T08:28:25.590035+00:00,0.6923076923076923,0.4076923076923077,0
746229c2,AI-Driven Card Probe Network with Device Fingerprint Collisions,Monetization,Card-Not-Present Abuse,network,deviceDetails.deviceId|deviceDetails.ipAddress|deviceDetails.geocode|_behavioral_join_fields.mean_inter_txn_seconds|_behavioral_join_fields.failed_auth_count_24h,"A botnet of synthetic identities generates thousands of sub‑₹500 test payments using stolen card numbers. All bots spoof the same deviceId hash and rotate IPs within a single /24 subnet, while keeping geocode static. Individually each transaction looks benign, but across the fleet the mean_inter_txn_seconds drops to <2 s and failed_auth_count_24h spikes, creating a high‑frequency, low‑value probe pattern that evades per‑transaction thresholds.",distributed_probe_spoof,3,2026-08-31T08:28:46.672744+00:00,0.5555555555555556,0.5277944444444445,0
5f47298a,High-Value Consolidation Burst,Monetization,Mule Network Cash-Out,network,amount|deviceDetails.geocode|deviceDetails.ipAddress|timestamp|_behavioral_join_fields.login_time_deviation_hrs,"A coordinated set of mule accounts transfers large sums to a single payee within a tight time window. Transactions share a common geocode (simulating a physical collection point) but use distinct deviceIds. IP addresses belong to a narrow subnet. Timestamps are clustered (<5 minutes apart) and behavioral join fields show anomalously low login_time_deviation_hrs, indicating synchronized off‑hours logins. The pattern is a burst of high‑value cash‑out rather than a low‑value flood.",high_value_consolidation_burst,0,2026-08-31T12:45:04.406837+00:00,1.0,0.08335,0
4e169d89,Emulated High-End OS Cohort with Consistent Geocode,Access,Device Emulation,identity,deviceDetails.os|deviceDetails.geocode|deviceDetails.ipAddress|deviceDetails.deviceId|_identity_join_fields.account_age_days,"Attacker runs Android emulator instances configured to report a premium OS version (e.g., Android 13) and a static high‑income geocode (lat,lon) while rotating deviceId hashes. Across thousands of low‑value UPI payments, the OS string remains constant, the geocode is identical, and the IP hashes map to residential ISP ranges, creating a cohort that appears as a legitimate premium‑device user base. The pattern is an aggregation anomaly: unusually high concentration of the same OS/geocode combo with low transaction amounts and newly created accounts, evading device‑trust checks that only flag rare OS signatures.",OS‑spoofed geocode cohort,0,2026-08-31T12:45:11.506315+00:00,0.7222222222222222,0.4722277777777778,0
dff02280,Temporal OS/Geocode Swapping Emulated Cohort,Access,Device Emulation,network,deviceDetails.os|deviceDetails.geocode|deviceDetails.ipAddress|timestamp|_behavioral_join_fields.login_time_deviation_hrs,"Attacker operates a fleet of emulator instances that cyclically change the reported OS string and geocode every few transactions while also rotating the IP address to simulate a user moving across regions. The swaps are timed to align with the user’s typical login_time_deviation_hrs, producing a coordinated drift across deviceDetails and behavioral signals that bypasses static device‑trust rules but creates a multi‑field anomaly detectable only at aggregate level.",temporal_os_geocode_swapping,0,2026-08-31T12:45:37.192955+00:00,0.8571428571428571,0.22620714285714288,0
